ID,State ID,County ID,County Area Name,Type,City where County Gov.'s responding office is located,State,ZIP,ZIP -suffix,"Population as of July 1, 2011 (Vintage 2013)",FIPS State,FIPS County,FIPS Place,"* This file includes all county-type areas in the United States.  Not all county-type areas have independent county-level governments (labeled as census counties, independent cities, or other).  Some areas are governed by legally consolidated city-county governments; others are incorporated as independent cities.  Census counties refer to areas with certain types of county offices that are included as part of another government.  Boroughs are unique to Alaska: parishes to Louisiana.  For more information, see Appendix A of Individual State Descriptions at http://www.census.gov/govs/cog/2012isd.pdf.    ",
01001,01,001,AUTAUGA,COUNTY,PRATTVILLE,AL,36067,,55278,01,001,99001,,
01002,01,002,BALDWIN,COUNTY,BAY MINETTE,AL,36507,,186727,01,003,99003,,
01003,01,003,BARBOUR,COUNTY,CLAYTON,AL,36016,,27301,01,005,99005,,
01004,01,004,BIBB,COUNTY,CENTREVILLE,AL,35042,,22770,01,007,99007,,
01005,01,005,BLOUNT,COUNTY,ONEONTA,AL,35121,,57742,01,009,99009,,
01006,01,006,BULLOCK,COUNTY,UNION SPRINGS,AL,36089,,10618,01,011,99011,,
01007,01,007,BUTLER,COUNTY,GREENVILLE,AL,36037,,20662,01,013,99013,,
01008,01,008,CALHOUN,COUNTY,ANNISTON,AL,36201,,117769,01,015,99015,,
01009,01,009,CHAMBERS,COUNTY,LAFAYETTE,AL,36862,,33995,01,017,99017,,
01010,01,010,CHEROKEE,COUNTY,CENTRE,AL,35960,,26088,01,019,99019,,
01011,01,011,CHILTON,COUNTY,MAPLESVILLE,AL,36750,,43786,01,021,99021,,
01012,01,012,CHOCTAW,COUNTY,BUTLER,AL,36904,,13598,01,023,99023,,
01013,01,013,CLARKE,COUNTY,GROVE HILL,AL,36451,,25615,01,025,99025,,
01014,01,014,CLAY,COUNTY,ASHLAND,AL,36251,,13678,01,027,99027,,
01015,01,015,CLEBURNE,COUNTY,HEFLIN,AL,36264,,14960,01,029,99029,,
01016,01,016,COFFEE,COUNTY,NEW BROCKTON,AL,36351,,50503,01,031,99031,,
01017,01,017,COLBERT,COUNTY,TUSCUMBIA,AL,35674,,54406,01,033,99033,,
01018,01,018,CONECUH,COUNTY,EVERGREEN,AL,36401,,13130,01,035,99035,,
01019,01,019,COOSA,COUNTY,ROCKFORD,AL,35136,,11117,01,037,99037,,
01020,01,020,COVINGTON,COUNTY,ANDALUSIA,AL,36420,,38053,01,039,99039,,
01021,01,021,CRENSHAW,COUNTY,LUVERNE,AL,36049,,13915,01,041,99041,,
01022,01,022,CULLMAN,COUNTY,CULLMAN,AL,35055,,80477,01,043,99043,,
01023,01,023,DALE,COUNTY,OZARK,AL,36360,,50085,01,045,99045,,
01024,01,024,DALLAS,COUNTY,SELMA,AL,36702,,43167,01,047,99047,,
01025,01,025,DE KALB,COUNTY,FORT PAYNE,AL,35967,,71422,01,049,99049,,
01026,01,026,ELMORE,COUNTY,WETUMPKA,AL,36092,,80010,01,051,99051,,
01027,01,027,ESCAMBIA,COUNTY,BREWTON,AL,36427,,38230,01,053,99053,,
01028,01,028,ETOWAH,COUNTY,GADSDEN,AL,35901,,104323,01,055,99055,,
01029,01,029,FAYETTE,COUNTY,FAYETTE,AL,35555,,17074,01,057,99057,,
01030,01,030,FRANKLIN,COUNTY,RUSSELLVILLE,AL,35653,,31765,01,059,99059,,
01031,01,031,GENEVA,COUNTY,GENEVA,AL,36340,,26815,01,061,99061,,
01032,01,032,GREENE,COUNTY,EUTAW,AL,35462,,8905,01,063,99063,,
01033,01,033,HALE,COUNTY,Greensboro,AL,36744,,15389,01,065,99065,,
01034,01,034,HENRY,COUNTY,ABBEVILLE,AL,36310,,17424,01,067,99067,,
01035,01,035,HOUSTON,COUNTY,DOTHAN,AL,36302,,102371,01,069,99069,,
01036,01,036,JACKSON,COUNTY,SCOTTSBORO,AL,35768,,53235,01,071,99071,,
01037,01,037,JEFFERSON,COUNTY,Birmingham,AL,35203,,657998,01,073,99073,,
01038,01,038,LAMAR,COUNTY,VERNON,AL,35592,,14292,01,075,99075,,
01039,01,039,LAUDERDALE,COUNTY,FLORENCE,AL,35631,,92601,01,077,99077,,
01040,01,040,LAWRENCE,COUNTY,Moulton,AL,35650,,34055,01,079,99079,,
01041,01,041,LEE,COUNTY,OPELIKA,AL,36803,,143869,01,081,99081,,
01042,01,042,LIMESTONE,COUNTY,ATHENS,AL,35611,,85537,01,083,99083,,
01043,01,043,LOWNDES,COUNTY,HAYNEVILLE,AL,36040,,11116,01,085,99085,,
01044,01,044,MACON,COUNTY,Tuskegee,AL,36083,,21215,01,087,99087,,
01045,01,045,MADISON,COUNTY,Huntsville,AL,35801,,339681,01,089,99089,,
01046,01,046,MARENGO,COUNTY,LINDEN,AL,36748,,20689,01,091,99091,,
01047,01,047,MARION,COUNTY,HAMILTON,AL,35570,,30741,01,093,99093,,
01048,01,048,MARSHALL,COUNTY,GUNTERSVILLE,AL,35976,,93921,01,095,99095,,
01049,01,049,MOBILE,COUNTY,MOBILE,AL,36633,,412989,01,097,99097,,
