GEOID,NAME,male,medage,pop,black,asian,pacific,latino,commute_hr1,commute_hr2,medrent,medincome
43964,ZCTA5 43964,4312,46.2,8642,256,21,0,27,212,95,585,42826
28216,ZCTA5 28216,23286,35.2,51116,32929,1054,0,4077,661,538,1079,48647
28277,ZCTA5 28277,33421,38.8,71605,6346,10533,0,5172,1861,594,1411,105885
28278,ZCTA5 28278,12870,35.6,27286,8672,1709,53,2870,419,239,1327,90282
28303,ZCTA5 28303,13958,35.1,29414,11486,1185,132,3084,147,142,854,39896
28314,ZCTA5 28314,28123,29.7,58110,27381,1844,170,8574,634,365,958,47873
28330,ZCTA5 28330,195,44.3,444,104,0,0,0,0,0,NA,28472
28347,ZCTA5 28347,1480,30.3,2329,902,0,0,826,63,6,751,28125
28351,ZCTA5 28351,2175,42.5,4698,1271,10,0,16,99,16,661,36949
28357,ZCTA5 28357,1408,43.4,2682,566,1,13,341,35,8,618,32060
28369,ZCTA5 28369,1405,43.1,2865,964,40,0,161,18,19,620,29848
28371,ZCTA5 28371,3710,35.9,7249,1980,35,0,404,125,18,810,50523
28392,ZCTA5 28392,820,45.6,1628,655,0,0,7,5,0,692,31667
28428,ZCTA5 28428,3127,47.3,6533,7,24,0,123,106,87,1160,71250
28433,ZCTA5 28433,2545,41.7,5375,3341,0,0,166,85,21,626,27900
28435,ZCTA5 28435,1129,49.2,2058,330,99,0,75,42,6,683,36298
28450,ZCTA5 28450,1131,45.1,2596,225,13,0,84,61,24,839,51680
28461,ZCTA5 28461,9250,57.3,19897,452,37,0,1204,245,170,904,64418
28462,ZCTA5 28462,6273,53.4,12659,1165,65,0,97,206,109,785,41243
28537,ZCTA5 28537,71,37.1,146,3,0,0,3,0,0,NA,24125
28547,ZCTA5 28547,21000,21.2,25420,2947,574,122,4580,27,12,1315,47662
28552,ZCTA5 28552,69,36.5,146,0,0,0,0,5,0,NA,NA
28557,ZCTA5 28557,7567,48.8,15204,1167,260,5,869,94,77,890,54528
28560,ZCTA5 28560,13364,40.7,27590,4900,1026,24,1379,584,229,789,46133
28562,ZCTA5 28562,18732,41.8,38598,8706,1342,0,1993,541,308,892,57592
28570,ZCTA5 28570,10573,43.6,21590,1145,417,0,1111,316,174,856,51569
28574,ZCTA5 28574,9228,30.3,18116,1890,156,50,1789,591,231,1071,49267
28579,ZCTA5 28579,294,56,554,10,0,0,0,0,0,774,46964
28373,ZCTA5 28373,1249,35.3,2602,708,0,0,68,20,22,886,43836
28364,ZCTA5 28364,7377,35.6,15183,3086,110,10,45,381,236,581,33462
28366,ZCTA5 28366,2837,41,5564,1086,143,0,1380,200,171,601,33295
28377,ZCTA5 28377,6093,33.8,12933,3350,41,0,2237,174,159,585,28176
28383,ZCTA5 28383,4091,38.9,8854,2205,6,0,90,233,137,553,33952
28386,ZCTA5 28386,2708,31.1,5997,712,5,0,1561,48,34,628,31092
28398,ZCTA5 28398,3882,41.3,7765,3522,4,32,1457,87,23,651,32813
28425,ZCTA5 28425,5816,43.4,11634,3716,31,0,1022,143,112,774,40211
28429,ZCTA5 28429,3857,44.6,7525,1769,0,0,187,0,55,822,49346
28464,ZCTA5 28464,1184,51.3,2707,1426,0,0,440,13,66,806,20625
28073,ZCTA5 28073,2845,43.2,5366,1222,202,0,5,64,47,645,39971
28098,ZCTA5 28098,1798,41,3629,576,36,0,371,44,43,724,51206
28119,ZCTA5 28119,1333,42.1,2453,1395,0,0,283,52,19,700,31464
28144,ZCTA5 28144,12330,38,25158,11034,246,0,1663,610,188,762,43136
28150,ZCTA5 28150,12943,43.3,27581,7899,239,0,962,594,91,695,38328
28168,ZCTA5 28168,4522,45.8,10056,131,177,0,321,142,80,664,47888
28173,ZCTA5 28173,28318,38.6,56910,4121,3217,4,3129,2124,452,1133,116043
28205,ZCTA5 28205,24526,33.3,48539,13871,2658,253,9518,1309,423,923,49378
28214,ZCTA5 28214,19332,35.6,41356,17094,2401,22,5958,451,401,1090,60837
28307,ZCTA5 28307,10409,22.3,17830,3213,479,69,3768,64,5,1205,40559
28315,ZCTA5 28315,6448,35.5,13700,3647,351,0,846,113,64,791,51725
28318,ZCTA5 28318,2226,42.5,4371,252,0,0,297,40,59,541,47566
28320,ZCTA5 28320,4386,45.2,9919,2582,0,0,284,51,72,600,36199
28333,ZCTA5 28333,5179,33.1,11075,4461,32,0,3816,43,48,675,30172
28730,ZCTA5 28730,4599,43.6,9248,246,0,0,755,67,31,783,62995
28544,ZCTA5 28544,3470,23.5,6692,1360,117,0,680,35,0,1066,39696
28470,ZCTA5 28470,5893,47.6,12089,1850,69,0,890,210,128,791,39636
28524,ZCTA5 28524,101,46.2,304,0,0,0,0,0,0,NA,24867
28530,ZCTA5 28530,3180,38.8,6457,2547,0,0,359,144,48,724,36357
28556,ZCTA5 28556,580,52,1019,95,0,0,0,6,0,NA,41961
28573,ZCTA5 28573,1012,48.1,2053,879,0,0,89,14,0,663,44083
28621,ZCTA5 28621,5437,39.9,10499,463,61,0,1331,147,70,674,47034
28631,ZCTA5 28631,375,59.1,818,0,0,0,118,15,15,NA,37581
28644,ZCTA5 28644,496,42.9,1117,0,0,0,23,22,14,NA,33750
28675,ZCTA5 28675,3418,47.4,7033,260,20,1,798,104,66,590,34069
28684,ZCTA5 28684,1187,35.3,2370,7,0,0,23,13,37,1042,41163
28405,ZCTA5 28405,15538,40.7,32330,6234,519,9,1619,261,265,994,54544
28442,ZCTA5 28442,797,54.5,1584,546,0,0,141,19,7,632,37002
28444,ZCTA5 28444,1084,49.3,1962,850,0,0,12,5,1,932,52668
28466,ZCTA5 28466,4263,49.9,9294,1807,12,0,906,284,26,611,36938
28718,ZCTA5 28718,172,65,363,0,0,0,0,0,8,NA,43512
28722,ZCTA5 28722,2978,53.8,6477,267,9,0,801,62,120,817,48028
28077,ZCTA5 28077,202,43.2,464,9,0,0,10,26,0,646,24063
28097,ZCTA5 28097,2997,44.9,6074,86,0,0,379,226,41,787,57782
28103,ZCTA5 28103,5714,40.5,11397,2152,109,0,514,437,86,880,55116
28105,ZCTA5 28105,21876,40.5,45786,5081,2018,0,4828,885,314,1206,75329
28110,ZCTA5 28110,26125,35.4,53520,6875,454,22,9902,1949,723,935,57969
28124,ZCTA5 28124,3106,43.4,6192,70,71,0,49,195,56,887,59167
28127,ZCTA5 28127,4226,46.9,7860,931,106,0,156,279,105,672,54657
28137,ZCTA5 28137,1771,39.3,3248,149,211,0,108,117,12,720,52167
28139,ZCTA5 28139,9968,45,20900,1303,0,0,537,613,354,672,45053
28212,ZCTA5 28212,22233,30.5,45694,19266,4040,0,12610,1209,543,937,39439
28217,ZCTA5 28217,14903,30.8,29410,12582,2733,0,9535,472,322,1035,49230
28227,ZCTA5 28227,26697,38.3,55769,15926,1596,21,9213,1162,408,1028,57752
29440,ZCTA5 29440,12999,39.5,27897,12666,35,0,679,619,496,746,37146
29450,ZCTA5 29450,1575,42.4,3548,2298,0,0,0,34,0,699,55841
