County,1930 Population,1930 Rank,1940 Population,1940 Rank,1950 Population,1950 Rank,1960 Population,1960 Rank,1970 Population,1970 Rank,1980 Population,1980 Rank,1990 Population,1990 Rank,2000 Population,2000 Rank,2010 Population,2010 Rank,2020 Population,2020 Rank
APPLING,"13,314",69,"14,497",70,"14,003",71,"13,246",72,"12,726",80,"15,565",78,"15,744",85,"17,419",90,"18,236",96,"18,444",96
ATKINSON,"6,894",142,"7,093",137,"7,362",128,"6,188",138,"5,879",140,"6,141",142,"6,213",142,"7,609",141,"8,375",140,"8,286",138
BACON,"7,055",136,"8,096",127,"8,940",109,"8,359",109,"8,233",112,"9,379",116,"9,566",118,"10,103",126,"11,096",121,"11,140",119
BAKER,"7,818",130,"7,344",135,"5,952",146,"4,543",150,"3,875",150,"3,808",152,"3,615",152,"4,074",152,"3,451",154,"2,876",155
BALDWIN,"22,878",32,"24,190",31,"29,706",24,"34,064",24,"34,240",23,"34,686",36,"39,530",37,"44,700",39,"45,720",43,"43,799",47
BANKS,"9,703",104,"8,733",118,"6,935",133,"6,497",132,"6,833",127,"8,702",124,"10,308",112,"14,422",105,"18,395",94,"18,035",98
BARROW,"12,401",82,"13,064",75,"13,115",75,"14,485",66,"16,859",64,"21,354",55,"29,721",48,"46,144",37,"69,367",32,"83,505",31
BARTOW,"25,364",24,"25,283",27,"27,370",27,"28,267",28,"32,663",26,"40,760",24,"55,911",25,"76,019",26,"100,157",24,"108,901",24
BEN HILL,"13,047",72,"14,523",69,"14,879",63,"13,633",68,"13,171",76,"16,000",77,"16,245",83,"17,484",89,"17,634",99,"17,194",101
BERRIEN,"14,646",67,"15,370",62,"13,966",72,"12,038",80,"11,556",85,"13,525",87,"14,153",91,"16,235",94,"19,286",91,"18,160",97
BIBB,"77,042",4,"83,783",4,"114,079",5,"141,249",5,"143,418",7,"150,256",9,"149,967",9,"153,887",9,"155,547",13,"157,346",15
BLECKLEY,"9,133",111,"9,655",108,"9,218",103,"9,642",98,"10,291",95,"10,767",105,"10,430",111,"11,666",114,"13,063",115,"12,583",111
BRANTLEY,"6,895",141,"6,871",141,"6,387",141,"5,891",141,"5,940",138,"8,701",125,"11,077",107,"14,629",104,"18,411",93,"18,021",99
